ticker	reason	detail
WYNN	sector_not_technology	AV sector=CONSUMER CYCLICAL
X	no_av_coverage	
XEL	sector_not_technology	AV sector=UTILITIES
XENE	sector_not_technology	AV sector=HEALTHCARE
XHR	sector_not_technology	AV sector=REAL ESTATE
XLB	etf	
XLU	etf	
XM	no_av_coverage	
XOM	sector_not_technology	AV sector=ENERGY
XOS	sector_not_technology	AV sector=INDUSTRIALS
XPO	sector_not_technology	AV sector=INDUSTRIALS
XPRO	sector_not_technology	AV sector=ENERGY
XRAY	sector_not_technology	AV sector=HEALTHCARE
XRX	sector_not_technology	AV sector=INDUSTRIALS
XYL	sector_not_technology	AV sector=INDUSTRIALS
YELP	sector_not_technology	AV sector=COMMUNICATION SERVICES
YORW	sector_not_technology	AV sector=UTILITIES
YUM	sector_not_technology	AV sector=CONSUMER CYCLICAL
YY	no_av_coverage	
YZC	no_av_coverage	
Z	sector_not_technology	AV sector=COMMUNICATION SERVICES
ZBH	sector_not_technology	AV sector=HEALTHCARE
ZEN	no_av_coverage	
ZG	duplicate_share_class	same issuer as Z
ZI	no_av_coverage	successor queued
ZION	sector_not_technology	AV sector=FINANCIAL SERVICES
ZK	sector_not_technology	AV sector=CONSUMER CYCLICAL
ZTST	sector_not_technology	AV sector=OTHER
ANSS	stale_filings	last filing 2025-03-31 (495d)
EVBG	stale_filings	last filing 2024-03-31 (860d)
SPLK	stale_filings	last filing 2024-01-31 (920d)
WKME	stale_filings	last filing 2024-06-30 (769d)
ASML	non_usd_currency	AV reports non-USD
IMOS	non_usd_currency	AV reports non-USD
KSPI	non_usd_currency	AV reports non-USD
PAGS	non_usd_currency	AV reports non-USD
SAP	non_usd_currency	AV reports non-USD
SRAD	non_usd_currency	AV reports non-USD
STNE	non_usd_currency	AV reports non-USD
TSM	non_usd_currency	AV reports non-USD
UMC	non_usd_currency	AV reports non-USD
